Country,year,Value
Afghanistan,2020,83.21645
Albania,2020,36.78752
Algeria,2020,531.9749
Angola,2020,215.9016
Antigua and Barbuda,2020,1.772876
Argentina,2020,866.9691
Armenia,2020,33.00228
Aruba,2020,2.584789
Australia,2020,1219.307
Austria,2020,453.2275
Azerbaijan,2020,140.3826
Bahrain,2020,71.83838
Bangladesh,2020,922.9937
Barbados,2020,3.962201
Belarus,2020,176.2621
Belgium,2020,553.6443
Belize,2020,2.958894
Benin,2020,40.03826
Bermuda,2020,6.033042
Bhutan,2020,7.82446
Bolivia,2020,86.46654
Bosnia and Herzegovina,2020,46.64719
Botswana,2020,33.96944
Brazil,2020,2880.29
British Virgin Islands,2020,1.585708
Brunei,2020,26.95034
Bulgaria,2020,152.2749
Burkina Faso,2020,45.50805
Burma,2020,285.2566
Burundi,2020,8.848606
Cabo Verde,2020,3.385313
Cambodia,2020,89.44767
Cameroon,2020,94.07145
Canada,2020,1708.522
Cayman Islands,2020,3.616836
Central African Republic,2020,4.450952
Chad,2020,36.63329
Chile,2020,430.1517
China,2020,23136.77
Colombia,2020,662.6408
Comoros,2020,2.594583
Congo-Brazzaville,2020,17.98614
Congo-Kinshasa,2020,101.3189
Costa Rica,2020,98.60655
Cote d'Ivoire,2020,137.482
Croatia,2020,107.2007
Cuba,2020,132.6816
Cyprus,2020,34.99425
Czechia,2020,409.0735
Denmark,2020,315.5213
Djibouti,2020,5.627352
Dominica,2020,0.6978428
Dominican Republic,2020,177.3478
Ecuador,2020,176.6768
Egypt,2020,1272.232
El Salvador,2020,48.68722
Equatorial Guinea,2020,23.65025
Eritrea,2020,6.047002
Estonia,2020,46.18502
Eswatini,2020,10.08771
Ethiopia,2020,264.5847
Fiji,2020,9.798953
Finland,2020,253.218
France,2020,2774.888
Gabon,2020,31.94844
"Gambia, The",2020,5.324947
Georgia,2020,52.21561
Germany,2020,4257.786
Ghana,2020,171.1759
Greece,2020,286.1596
Greenland,2020,5.0237
Grenada,2020,1.522711
Guadeloupe,2020,6.805863
Guatemala,2020,142.6324
Guinea,2020,29.96426
Guinea-Bissau,2020,4.226962
Guyana,2020,14.61013
Haiti,2020,31.2754
Honduras,2020,46.41982
Hong Kong,2020,403.1021
Hungary,2020,298.494
Iceland,2020,17.92982
