countries,year,Value
Afghanistan,2024,42647.49
Albania,2024,2791.765
Algeria,2024,46814.31
Angola,2024,37885.85
Antigua and Barbuda,2024,93.772
Argentina,2024,45696.16
Armenia,2024,2973.84
Aruba,2024,108.066
Australia,2024,27236.21
Austria,2024,9170.854
Azerbaijan,2024,10336.58
Bahrain,2024,1631.91
Bangladesh,2024,173562.4
Barbados,2024,282.5008
Belarus,2024,9056.696
Belgium,2024,11766.26
Belize,2024,417.072
Benin,2024,14462.72
Bermuda,2024,64.636
Bhutan,2024,791.524
Bolivia,2024,12413.32
Bosnia and Herzegovina,2024,3164.253
Botswana,2024,2521.139
Brazil,2024,211998.6
British Virgin Islands,2024,39.471
Brunei,2024,462.721
Bulgaria,2024,6337.545
Burkina Faso,2024,23548.78
Burma,2024,54500.09
Burundi,2024,14047.79
Cabo Verde,2024,524.877
Cambodia,2024,17638.8
Cameroon,2024,29123.74
Canada,2024,41144.16
Cayman Islands,2024,74.457
Central African Republic,2024,5330.69
Chad,2024,20299.12
Chile,2024,20039.32
China,2024,1419321
Colombia,2024,52886.36
Comoros,2024,866.628
Congo-Brazzaville,2024,6332.961
Congo-Kinshasa,2024,109276.3
Costa Rica,2024,5129.91
Cote d'Ivoire,2024,31934.23
Croatia,2024,3845.81
Cuba,2024,10979.78
Cyprus,2024,933.937
Czechia,2024,10881.62
Denmark,2024,5978.455
Djibouti,2024,1168.722
Dominica,2024,66.205
Dominican Republic,2024,11427.56
Ecuador,2024,18135.48
Egypt,2024,116538.2
El Salvador,2024,6338.193
Equatorial Guinea,2024,1892.516
Eritrea,2024,3535.603
Estonia,2024,1372.218
Eswatini,2024,1242.822
Ethiopia,2024,132059.8
Fiji,2024,928.784
Finland,2024,5603.049
France,2024,68493.66
Gabon,2024,2538.952
"Gambia, The",2024,2759.988
Georgia,2024,3807.67
Germany,2024,84569.84
Ghana,2024,34427.41
Greece,2024,10366.78
Greenland,2024,55.84
Grenada,2024,117.207
Guadeloupe,2024,375.106
Guatemala,2024,18406.36
Guinea,2024,14754.79
Guinea-Bissau,2024,2201.352
Guyana,2024,831.087
Haiti,2024,11772.56
Honduras,2024,10825.7
Hong Kong,2024,7414.909
Hungary,2024,9558.486
Iceland,2024,393.396
India,2024,1450936
Indonesia,2024,283487.9
Iran,2024,91567.73
Iraq,2024,46042.02
Ireland,2024,5393.306
Israel,2024,9387.021
Italy,2024,58918.29
Jamaica,2024,2839.175
Japan,2024,123753
Jordan,2024,11552.88
Kazakhstan,2024,20592.57
Kenya,2024,56432.94
Kiribati,2024,134.518
Kosovo,2024,1760.466
Kuwait,2024,4934.507
Kyrgyzstan,2024,7186.009
Laos,2024,7769.819
Latvia,2024,1852.69
Lebanon,2024,5805.962
Lesotho,2024,2337.423
Liberia,2024,5612.817
Libya,2024,7381.023
Lithuania,2024,2873.923
Luxembourg,2024,678.2145
Macau,2024,720.262
Madagascar,2024,31964.96
Malawi,2024,21655.29
Malaysia,2024,35557.67
Maldives,2024,527.799
Mali,2024,24478.6
Malta,2024,564.0538
Martinique,2024,343.195
Mauritania,2024,5169.395
Mauritius,2024,1271.169
Mexico,2024,130861
Moldova,2024,3454.375
Mongolia,2024,3475.54
Montenegro,2024,638.479
Morocco,2024,38081.17
Mozambique,2024,34631.77
Namibia,2024,3030.131
Nepal,2024,29651.05
Netherlands,2024,18010.51
Netherlands Antilles,2024,192.965
New Zealand,2024,5282.715
Nicaragua,2024,6916.14
Niger,2024,27032.41
Nigeria,2024,232679.5
North Korea,2024,26498.82
North Macedonia,2024,1823.009
Norway,2024,5576.46
Oman,2024,5268.07
Pakistan,2024,251269.2
Palestinian Territories,2024,5495.443
Panama,2024,4515.577
Papua New Guinea,2024,10576.5
Paraguay,2024,6929.153
Peru,2024,34217.85
Philippines,2024,115843.7
Poland,2024,36523.96
Portugal,2024,10683.09
Puerto Rico,2024,3242.204
Qatar,2024,3048.423
Reunion,2024,878.591
Romania,2024,18871.37
Russia,2024,144820.4
Rwanda,2024,14256.57
Saint Kitts and Nevis,2024,46.843
Saint Lucia,2024,179.744
Saint Vincent/Grenadines,2024,100.616
Samoa,2024,218.019
Sao Tome and Principe,2024,235.536
Saudi Arabia,2024,34143.38
Senegal,2024,18501.98
Serbia,2024,6587.017
Seychelles,2024,130.418
Sierra Leone,2024,8642.022
Singapore,2024,6036.297
Slovakia,2024,5423.164
Slovenia,2024,2119.485
Solomon Islands,2024,819.198
Somalia,2024,19009.15
South Africa,2024,64007.19
South Korea,2024,51717.59
South Sudan,2024,11943.41
Spain,2024,48875.5
Sri Lanka,2024,23103.56
Sudan,2024,50448.96
Suriname,2024,634.431
Sweden,2024,10561.5
Switzerland,2024,9035.727
Syria,2024,24672.76
Taiwan,2024,23366.47
Tajikistan,2024,10590.93
Tanzania,2024,68560.16
Thailand,2024,71668.02
The Bahamas,2024,401.283
Timor-Leste,2024,1400.638
Togo,2024,9515.236
Tonga,2024,104.175
Trinidad and Tobago,2024,1507.782
Tunisia,2024,12277.11
Turkiye,2024,87473.8
Turkmenistan,2024,7494.498
U.S. Territories,2024,0
U.S. Virgin Islands,2024,84.905
Uganda,2024,50015.09
Ukraine,2024,37697
United Arab Emirates,2024,11027.13
United Kingdom,2024,69286.48
United States,2024,339610.5
Uruguay,2024,3386.588
Uzbekistan,2024,36361.86
Vanuatu,2024,327.777
Venezuela,2024,28405.54
Vietnam,2024,100987.6
Yemen,2024,40583.16
Zambia,2024,21314.96
Zimbabwe,2024,16634.37
Afghanistan,2020,39068.98
Albania,2020,2871.954
Algeria,2020,44042.09
Angola,2020,33451.13
Antigua and Barbuda,2020,91.846
Argentina,2020,45191.96
Armenia,2020,2890.892
Aruba,2020,107.4
Australia,2020,25640.23
Austria,2020,8920.814
Azerbaijan,2020,10181.73
Bahrain,2020,1472.204
Bangladesh,2020,166298
Barbados,2020,281.698
Belarus,2020,9350.944
Belgium,2020,11542.64
Belize,2020,390.812
Benin,2020,13070.17
Bermuda,2020,64.382
Bhutan,2020,770.006
Bolivia,2020,11816.3
Bosnia and Herzegovina,2020,3299.349
Botswana,2020,2365.894
Brazil,2020,208660.8
British Virgin Islands,2020,37.135
Brunei,2020,447.404
Bulgaria,2020,6929.648
Burkina Faso,2020,21478.69
Burma,2020,53016.52
Burundi,2020,12617.04
Cabo Verde,2020,514.679
Cambodia,2020,16725.47
Cameroon,2020,26210.56
Canada,2020,37997.8
Cayman Islands,2020,68.684
Central African Republic,2020,5026.628
Chad,2020,17224.68
Chile,2020,19326.65
China,2020,1426106
Colombia,2020,50629.99
Comoros,2020,802.163
Congo-Brazzaville,2020,5752.791
Congo-Kinshasa,2020,95990
Costa Rica,2020,5034.32
Cote d'Ivoire,2020,28915.45
Croatia,2020,3908.208
Cuba,2020,11176.35
Cyprus,2020,893.0063
Czechia,2020,10569.5
Denmark,2020,5833.564
Djibouti,2020,1105.188
Dominica,2020,67.573
Dominican Republic,2020,11008.3
Ecuador,2020,17546.06
Egypt,2020,109315.1
El Salvador,2020,6234.673
Equatorial Guinea,2020,1716.468
Eritrea,2020,3291.271
Estonia,2020,1329.658
Eswatini,2020,1192.729
Ethiopia,2020,118917.7
Fiji,2020,914.963
Finland,2020,5530.605
France,2020,67530.51
Gabon,2020,2322.539
"Gambia, The",2020,2515.733
Georgia,2020,3795.678
Germany,2020,83159.41
Ghana,2020,31887.81
Greece,2020,10693.61
Greenland,2020,56.08
Grenada,2020,116.341
Guadeloupe,2020,407.394
Guatemala,2020,17357.32
Guinea,2020,13371.18
Guinea-Bissau,2020,2013.255
Guyana,2020,807.481
Haiti,2020,11243.85
Honduras,2020,10119.64
Hong Kong,2020,7490.235
Hungary,2020,9745.306
Iceland,2020,366.614
India,2020,1402618
Indonesia,2020,274814.9
Iran,2020,87723.45
Iraq,2020,42116.61
Ireland,2020,5046.533
Israel,2020,8800.376
Italy,2020,59388.2
Jamaica,2020,2830.739
Japan,2020,126304.5
Jordan,2020,10865.23
Kazakhstan,2020,19482.12
Kenya,2020,52217.34
Kiribati,2020,126.099
Kosovo,2020,1790.133
Kuwait,2020,4400.144
Kyrgyzstan,2020,6664.14
Laos,2020,7346.533
Latvia,2020,1893.223
Lebanon,2020,5702.398
Lesotho,2020,2235.727
Liberia,2020,5149.463
Libya,2020,7045.399
Lithuania,2020,2795.084
Luxembourg,2020,631.4968
Macau,2020,683.067
Madagascar,2020,28953.56
Malawi,2020,19533.89
Malaysia,2020,33889.56
Maldives,2020,502.118
Mali,2020,21713.84
Malta,2020,515.524
Martinique,2020,356.615
Mauritania,2020,4600.131
Mauritius,2020,1283.223
Mexico,2020,126799
Moldova,2020,3493.267
Mongolia,2020,3290.785
Montenegro,2020,607.935
Morocco,2020,36584.21
Mozambique,2020,30783.69
Namibia,2020,2728.762
Nepal,2020,28966.57
Netherlands,2020,17449.98
Netherlands Antilles,2020,189.288
New Zealand,2020,5047.148
Nicaragua,2020,6565.267
Niger,2020,23717.61
Nigeria,2020,213996.2
North Korea,2020,26136.31
North Macedonia,2020,1872.015
Norway,2020,5382.448
Oman,2020,4522.497
Pakistan,2020,235001.8
Palestinian Territories,2020,5069.692
Panama,2020,4293.261
Papua New Guinea,2020,9815.746
Paraguay,2020,6603.739
Peru,2020,32838.58
Philippines,2020,112081.2
Poland,2020,37405.15
Portugal,2020,10387.21
Puerto Rico,2020,3275.805
Qatar,2020,2803.375
Reunion,2020,861.446
Romania,2020,19249.35
Russia,2020,146371.3
Rwanda,2020,13065.84
Saint Kitts and Nevis,2020,46.87
Saint Lucia,2020,178.25
Saint Vincent/Grenadines,2020,103.526
Samoa,2020,211.944
Sao Tome and Principe,2020,217.435
Saudi Arabia,2020,31552.51
Senegal,2020,16789.22
Serbia,2020,6899.126
Seychelles,2020,120.291
Sierra Leone,2020,7912.558
Singapore,2020,5643.372
Slovakia,2020,5459.066
Slovenia,2020,2104.059
Solomon Islands,2020,744.498
Somalia,2020,16651.19
South Africa,2020,60562.38
South Korea,2020,51858.48
South Sudan,2020,10698.47
Spain,2020,47369.77
Sri Lanka,2020,22561.81
Sudan,2020,46789.23
Suriname,2020,612.317
Sweden,2020,10359.91
Switzerland,2020,8670.301
Syria,2020,21049.43
Taiwan,2020,23576.95
Tajikistan,2020,9749.31
Tanzania,2020,60972.8
Thailand,2020,71641.48
The Bahamas,2020,395.863
Timor-Leste,2020,1326.053
Togo,2020,8669.72
Tonga,2020,105.704
Trinidad and Tobago,2020,1481.024
Tunisia,2020,11974.06
Turkiye,2020,86091.7
Turkmenistan,2020,6949.912
U.S. Virgin Islands,2020,87.707
Uganda,2020,44457.15
Ukraine,2020,41902.4
United Arab Emirates,2020,9448.524
United Kingdom,2020,67052.94
United States,2020,331469.7
Uruguay,2020,3398.968
Uzbekistan,2020,33586.37
Vanuatu,2020,298.858
Venezuela,2020,28444.08
Vietnam,2020,98079.19
Yemen,2020,36134.86
Zambia,2020,19059.39
Zimbabwe,2020,15526.89
Afghanistan,2021,40000.41
Albania,2021,2849.635
Algeria,2021,44761.1
Angola,2021,34532.43
Antigua and Barbuda,2021,92.349
Argentina,2021,45312.28
